id,name,city,salary
101,Aaron,New York,70000
102,Bella,Los Angeles,70500
103,Caleb,Chicago,71000
104,Daisy,Houston,71500
105,Eli,New York,72000
106,Faith,Los Angeles,72500
107,Gavin,Chicago,73000
108,Hailey,Houston,73500
109,Isaac,New York,74000
110,Jade,Los Angeles,74500
111,Kyle,Chicago,75000
112,Lena,Houston,75500
113,Mason,New York,76000
114,Nora,Los Angeles,76500
115,Owen,Chicago,77000
116,Piper,Houston,77500
117,Quincy,New York,78000
118,Riley,Los Angeles,78500
119,Shawn,Chicago,79000
120,Tessa,Houston,79500
