id,name,city,salary
301,Aaron,New York,70000
302,Bella,Los Angeles,70500
303,Caleb,Chicago,71000
304,Daisy,Houston,71500
305,Eli,New York,72000
306,Faith,Los Angeles,72500
307,Gavin,Chicago,73000
308,Hailey,Houston,73500
309,Isaac,New York,74000
310,Jade,Los Angeles,74500
311,Kyle,Chicago,75000
312,Lena,Houston,75500
313,Mason,New York,76000
314,Nora,Los Angeles,76500
315,Owen,Chicago,77000
316,Piper,Houston,77500
317,Quincy,New York,78000
318,Riley,Los Angeles,78500
319,Shawn,Chicago,79000
320,Tessa,Houston,79500
